Brand = TVS                                                        age = less than or equal to 2
Owner = First Owner
+---------------------------------------------------------------+--------+-------------------+----------+-----------+---+-----+-----+
|bike_name                                                      |price   |city               |kms_driven|owner      |age|power|brand|
|TVS Radeon 110cc Drum SBT                                      |58000.0 |Delhi              |4020.0    |First Owner|2.0|110.0|TVS  |
+---------------------------------------------------------------+--------+-------------------+----------+-----------+---+-----+-----+

Brand = TVS                                                        age = greater than 2
Owner = Second and Third Owner
+-----------------------------------------------+--------+-----------+----------+------------+----+-----+-----+
|bike_name                                      |price   |city       |kms_driven|owner       |age |power|brand|
+-----------------------------------------------+--------+-----------+----------+------------+----+-----+-----+
|TVS Apache 150cc                               |9350.0  |Bangalore  |39822.0   |Second Owner|13.0|150.0|TVS  |
|TVS Apache 150cc                               |9350.0  |Bangalore  |39822.0   |Second Owner|13.0|150.0|TVS  |
|TVS Apache RTR 180cc                           |40000.0 |Delhi      |16688.0   |Second Owner|6.0 |180.0|TVS  |
|TVS Apache RTR 200 4V Fi                       |70000.0 |Delhi      |9761.0    |Second Owner|5.0 |200.0|TVS  |
|TVS Apache RTR 200 4V Fi                       |70000.0 |Delhi      |9761.0    |Second Owner|5.0 |200.0|TVS  |
|TVS Apache RTR 160cc                           |43000.0 |Delhi      |28454.0   |Second Owner|4.0 |160.0|TVS  |
|TVS Flame 125cc                                |25000.0 |Jammu      |35000.0   |Second Owner|12.0|125.0|TVS  |
|TVS Flame 125cc                                |25000.0 |Jammu      |35000.0   |Second Owner|12.0|125.0|TVS  |
|TVS Apache RTR 160cc                           |18000.0 |Mumbai     |35408.0   |Second Owner|14.0|160.0|TVS  |
|TVS Apache RTR 180cc ABS                       |48000.0 |Delhi      |20000.0   |Second Owner|5.0 |180.0|TVS  |
|TVS Apache RTR 180cc ABS                       |48000.0 |Delhi      |20000.0   |Second Owner|5.0 |180.0|TVS  |
|TVS Apache RTR 160 4V Disc                     |65000.0 |Delhi      |10000.0   |Second Owner|3.0 |160.0|TVS  |
|TVS Apache RTR 160 4V Disc                     |65000.0 |Delhi      |10000.0   |Second Owner|3.0 |160.0|TVS  |
|TVS Apache RTR 180cc                           |70000.0 |Delhi      |7000.0    |Second Owner|3.0 |180.0|TVS  |
|TVS Apache RTR 180cc ABS                       |47500.0 |Mumbai     |38311.0   |Second Owner|4.0 |180.0|TVS  |
|TVS Apache RTR 180cc ABS                       |47500.0 |Mumbai     |38311.0   |Second Owner|4.0 |180.0|TVS  |
|TVS Apache RTR 180cc                           |49999.0 |Delhi      |20000.0   |Second Owner|6.0 |180.0|TVS  |
|TVS Apache RTR 180cc                           |47000.0 |Faridabad  |24000.0   |Second Owner|4.0 |180.0|TVS  |
|TVS Apache RTR 180cc                           |45000.0 |Bangalore  |26500.0   |Second Owner|7.0 |180.0|TVS  |
|TVS Apache RTR 160cc                           |50000.0 |Ghaziabad  |22932.0   |Second Owner|9.0 |160.0|TVS  |
|TVS Apache RTR 200 4V ABS Race Edition         |85000.0 |Delhi      |3900.0    |Second Owner|3.0 |200.0|TVS  |
|TVS Apache RTR 160cc                           |50000.0 |Ghaziabad  |22932.0   |Second Owner|9.0 |160.0|TVS  |
|TVS Apache RTR 160cc                           |19000.0 |Ghaziabad  |71359.0   |Second Owner|13.0|160.0|TVS  |
